comment_date,comment_score,content,movie_name
2009-08-23,5,为毛不去天桥上乞讨？为毛不去地铁里乞讨？在我们这儿是这么办的。,当幸福来敲门
2010-01-22,4,有点失望...感觉是为了励志而励志......要不是导演和演员功力，就沦落成俗套励志片了......,当幸福来敲门
2015-03-08,5,虽然是个好莱坞励志片，但真正让我感慨的其实是，穷人想要翻身，真是太难太难了，他们大多数不是不努力工作，但确实是一根绳子勒在脖子上，压根没有喘息的机会，而且他们的孩子从出生下来就没有，毕竟不是每个穷人家的孩子，都足够幸运能有这么顽强，比别人聪明十倍的爸爸啊。,当幸福来敲门
2007-01-28,5,"孩子母亲颤抖着说你会照顾好他；
装扮成时光机器来安抚孩子，子夜洗手间中独自哭泣；
“你是个好爸爸”，孩子说。
看电影的时候，我的手经常不自觉的紧握着，为那揪心的困窘。
幸福在这里敲门了，可是那些没有被敲门的人呢？",当幸福来敲门
2007-04-28,4,"失业时候看的,简直是催泪弹,WILL的儿子将来一定是块料,奥斯卡上看他跟小美女打闹,忒逗.",当幸福来敲门
2010-11-10,5,生活时常会让我们感到艰辛，并会让我们无数次目睹生命在各种重压下的扭曲与变形。——《生命不可承受之轻》,当幸福来敲门
2008-02-17,5,除了幸福 什么都能放弃 一定要幸福 和自己喜欢的人在一起 做自己喜欢的事,当幸福来敲门
2008-02-17,4,总会找到一个上帝，端坐天堂。,当幸福来敲门
2012-04-04,5,想起来徐本禹说的那句话：”你穷，别人会同情你，但你一直穷，别人不会一直同情你的。“《幸福来敲门》虽然算不上是完美的励志片，但它至少教会我一点，不要把自己经历过的事儿当个事儿，即使能感动他人，这些也什么都不是。把这些扔在脑后，让生命爆发出战斗力，去击败一切，才是真正动人的感人故事。,当幸福来敲门
2018-06-17,5,老爸走了10年了，还是会常常想起他,当幸福来敲门
2009-06-09,,不是幸福来敲门，而是死皮赖脸敲幸福家的门，直到幸福来开门,当幸福来敲门
2007-01-25,4,就算一个男人面临再窘迫的环境...他至少还可以拥有自尊...梦想以及明天...我也要守护好自己的理想...关于电影而言有些副线做的稍显简单...故事还有一定的潜力可以挖掘...,当幸福来敲门
2018-02-05,5,以前的英语老师推荐给我的，非常励志感人的一部影片，父子俩睡在厕所那一段至今印象深刻，逆境中的依偎和成长很打动人。,当幸福来敲门
2016-12-31,5,"    You got a dream, you gotta protect it. Don't let your dreams be dreams.",当幸福来敲门
2017-12-26,4,前半段很绝望，后半段很励志。儿子的爆炸头好评。爸爸在绝境中一直努力，很振奋人心。值得一看,当幸福来敲门
2016-11-01,5,really励志，很多时候，再艰难也要撑下去，因为更艰难的日子在未来。。。,当幸福来敲门
2016-03-04,3,最精彩的动画是用想象力拍出真实世界难以实现的故事，而不是用动物化填充一段如果是真人就普通到不能再普通的烂俗故事。笑料有，萌趣有，但更有的是莫名其妙的主旋律和政治正确，恐怕没有评分所体现的那么出色。,疯狂动物城
2016-03-01,5,看过了这一部，我好像能够更坚定地说我会当迪士尼一辈子的粉丝。迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城
2016-03-02,4,树懒太他妈好笑了！！那两分钟我嗓子都哑了！！卧槽！！真是太他妈好笑了！！,疯狂动物城
2016-03-07,4,港真，面对人家动画片里连一把椅子扶手上的铝合金划痕都做得活灵活现的态度，咱们就默默低头学就好，不要一天到晚吹“国产视效大片”这个概念了，略尴尬,疯狂动物城
2016-03-04,4,不仅是个小孩子玩玩闹闹的喜剧动画，成年人同样可以很享受这个故事。一个动物的乌托邦，理想与现实。有一个有趣的案件，又有很多关于人类世界的暗喻与指涉，还有教父或毒师这样的小梗。以及狐狸和兔子都那么可爱，那么搭。,疯狂动物城
2016-02-26,5,无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...,疯狂动物城
2016-02-26,5,完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画,疯狂动物城
2016-03-02,4,故事流程对小盆友来说不艰深对大盆友也不无聊。树懒那段，跟法国公务员打过交道的都会心一笑。兔子的微表情做得很棒。然而对所有的群体标签统一嘲讽的结果就是下意识也贴了标签（比如狐狸必然聪明却捞偏门，兔子一定是繁殖癌，猛兽全是雄性，etc）。最后，可惜世界不是一部迪斯尼出品的动画片。,疯狂动物城
2016-02-23,5,做冰棍那机智的不像话！！！全片最爱！！！想吃！！！,疯狂动物城
2016-02-28,5,哎呀呀~这些年来个人心目中的最佳动画竟然不是皮克斯出品。,疯狂动物城
2016-02-15,5,绝对的好片子 裂墙推荐。实在是因为另一场满了…随手挑了这个片子。真是5分钟一小笑 10分钟哄堂大笑。看那个又懒又慢树獭简直要锤墙了。旁边法国妹子精辟的吐槽！看！这是我们法国人。我要憋到内伤了。最后散场大家都静坐着等着整首歌放完…五星好评。2016年度十佳。,疯狂动物城
2016-03-04,5,不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！,疯狂动物城
2016-03-01,5,赞 看完赶脚世界都美好了,疯狂动物城
2016-02-28,5,"想嫁给又吊儿郎当又酷得不像话的狐狸先生。
自认为是奥斯卡长篇动画的有力候选。
啊啊啊，真的好好看，我要去二刷。",疯狂动物城
2016-03-04,4,"对比Frozen又是一次进步，但迪士尼家的反转还是太好猜，在最明显的线索被披露前真反派其实就已让人隐隐有种感觉。但抛去这点不看整部电影的主题和执行都堪称模范，还顺带早早地贡献出了今年最佳CP。""You know you love me.""(整个人在椅子上被苏晕",疯狂动物城
2016-03-06,,至于吗？我都不敢说坏话了。,疯狂动物城
2016-03-04,5,赞到惊人，大迪斯尼动画一年比一年精彩！朱迪只身去陌生的大城市追梦，让我又追忆起自己那美好而充实的留学生活了。Sloth们的每次出场自己都要笑到面瘫了！而朱迪跟尼克哭着道歉的那段我也跟着哭了，朋友之间有时候就应该这样把脸拉下来好好道歉！总体反映的各种社会现象以及政治问题都很贴切到位。,疯狂动物城
2016-02-28,5,超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！,疯狂动物城
2016-03-05,5,迪斯尼最近几年最好的一部动画片。不但娱乐性超强，而且主题和人物的深度也已超过一般动画片的维度了。,疯狂动物城
2016-03-05,5,求同款录音笔！,疯狂动物城
2010-03-05,5,to所有男生：别想太多。你们都不是马龙白兰度，不是阿尔帕西诺。,教父
2010-02-17,3,完了，不喜欢这个电影一定是我自己有问题，不必安慰我。,教父
2008-03-18,3,只能说，我欣赏不了,教父
2010-02-18,4,2010-02-17 看过。对权力有清醒的认识才能写出这样的剧本。只知道引用台词或把此片当作所谓“男人圣经”的观众退散！,教父
2015-04-11,,电影从来都不负责树立三观，它只表达它，然后剩下的交给观众来选择。,教父
2009-04-30,4,09年4月30号看过。当时给了两颗星评价为看不进去。今天又看了一遍， 看的格外喜欢，格外佩服。人是会变的，和生活经历有关吧,教父
2005-11-25,4,当一个新生儿在教堂接受教父的洗礼时，教堂之外的死亡正在蔓延……,教父
2011-02-01,4,平缓的节奏蕴藏着巨大的权威和张力，音乐舒缓淡淡忧伤，利益博弈人性冲突。无论是演技还是镜头、音乐的运用，都给人以一种美的享受。而看这部电影是极其需要沉下心来细细品味，也无论何时翻出来重温都能有新的感受。★★★★☆,教父
2017-02-24,4,生活是这样的美丽。剧情什么的都很不错，但有一句话我不喜欢，好像是说男人需要考虑很多，承担很多，但小孩和女人不用。用觉得有点性别歧视的意味。,教父
2012-06-01,4,“永远不要让任何人知道你在想什么。” 黑帮上升为哲学流派，一场闷骚至极的隐忍角力。接近完场的暗杀戏甚好，多线分层，与教堂弥撒“绑鞋带”，祷告、誓言、自我反叛，异己他者消亡、教父身份新生。沉郁静谧屡屡响起的曼陀林，一扇缓缓掩上的门。,教父
2005-09-12,5,"男人。
千万不要记恨你的对手，这样会让你失去理智。",教父
2005-11-09,3,无感。,教父
2009-07-24,5,"""Because a man who doesn't spend time with his family can never be a real man.""",教父
2010-08-04,5,时隔八年有必要修正自己的观点，简陋之处依旧，而编剧与表演上的神来之笔多不胜数，回头重新品，亦可以发现《教父》带给观众的“大银幕”体验是足以驳斥掉持 反对论者的。一杀二场面中的短暂神色与打击数量，确实精确到无以复加。,教父
2010-01-28,3,OK 很man不是我的菜 ,教父
2018-02-04,4,剧情不复杂，却在不经意间给人以深刻，马龙.白兰度的演绎无可挑剔。,教父
2012-12-07,4,是好片，只是我对黑帮电影真心不感冒。帕西诺演技好，另外我实在无法停止去注意马龙白兰度的嘴巴 （我一直以为是肖恩康纳利演的，囧）,教父
2006-06-01,5,讲述的是一个好孩子怎么变成老大的过程,教父
2016-11-24,4,"矛盾激化。圣诞前夕，索洛索劫持了“教 父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克（阿尔·帕西诺 饰）也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。
年老的“教父”",教父
2017-04-05,4,黑帮经典之作。但是很多人欣赏不了。。,教父
2007-03-03,5,牛就牛在，他让所有演员都达到了巅峰,无间道
2008-02-15,5,当年我深刻的爱上了梁朝伟同学,无间道
2012-01-22,4,我还是不能理解为什么美国人可以这么无耻直接拿本子过去拍出烂片还得了奥斯卡但是不给这部片子正名?,无间道
2006-04-27,4,看了美版的，才知道港版有多好看~55555555,无间道
2006-02-16,5,“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。,无间道
2012-09-14,5,最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。,无间道
2008-11-24,5,港片新旗帜,无间道
2011-03-16,5,港片的里程碑,无间道
2008-02-11,4,“《无间道》拍得相当好，但是再好也已经没有当年港片热气腾腾的生命力了。不知是拍的人变了，还是看的人倦了。《无间道》的前传后续也声势闹猛，它似乎可以打破港片沉沦的僵局。但是，它更像一具艳尸，妆扮得精美绝色，但终究是死物。”网上的这段评论深得我心。,无间道
2017-04-11,5,现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。,无间道
2013-01-21,5,卧！槽！居！然！这！么！好！看！（好后悔现在才看这部电影……所有人的演技都太棒了，甚至萧亚轩……）,无间道
2012-01-01,5,重新对香港电影刮目相看，它从哲学的角度深入探索人性，去感受身不由己之下的那种窒息，感受贪婪与自私，体验善恶的痛楚纠结。编剧确实是相当的出色，梁朝伟的陈松仁直接神化，所有的角色都可圈可点，没有一出多余的地方，以至多年后看美版的时候仍然不忘旧爱。这是港片的里程碑。9.2,无间道
2012-07-20,5,一气呵成。梁朝伟的眼神令人揪心。,无间道
2008-12-09,4,梁朝伟已经无与伦比了，那忧郁的眼神，欧~~,无间道
2009-02-28,4,看刘德华演戏好累,无间道
2012-01-18,5,怎么形容梁朝伟的分量呢？就我个人来看，影坛少了一个梁朝伟，就等于少了一百个刘德华。,无间道
2006-04-26,5,经典港片，无间道，如人生~~,无间道
2008-11-02,5,难怪高中时大家那么喜欢。片尾才发现，陈永仁的生日和我一样。,无间道
2005-12-13,5,剧情写得好！,无间道
